590.833	590.833	590.833	590.833	590.833	590.833	627.5	590.833	
661.333	661.333	661.333	661.333	661.333	661.333	661.333	661.333	
781	743.833	781	743.833	743.833	743.833	743.833	743.833	
906.333	895.667	883.667	895.667	837.667	837.667	837.667	837.667	
852.667	790	852.667	852.667	852.667	790	852.667	790	
762	762	762	762	762	762	762	762	
968.667	968.667	968.667	968.667	968.667	968.667	968.667	968.667	
726	726	653.833	653.833	653.833	653.833	653.833	653.833	
908.167	908.167	908.167	908.167	908.167	908.167	908.167	908.167	
850.167	861.167	861.167	861.167	850.167	850.167	850.167	850.167	
627.5	627.5	627.5	627.5	627.5	627.5	627.5	627.5	
673	673	548.417	673	548.417	548.417	673	548.417	
721.667	721.667	721.667	726.667	721.667	721.667	721.667	721.667	
782.583	782.583	782.583	782.583	782.583	782.583	782.583	782.583	
606.75	606.75	606.75	606.75	606.75	606.75	606.75	606.75	
496.833	443.417	443.417	443.417	443.417	443.417	443.417	443.417	
609.333	609.333	629	629	609.333	609.333	629	609.333	
580.583	639.917	639.917	628	580.583	580.583	580.583	580.583	
478.167	478.167	478.167	478.167	478.167	478.167	478.167	478.167	
858.833	858.833	858.833	858.833	858.833	858.833	858.833	858.833	
454.667	454.667	454.667	454.667	454.667	454.667	454.667	454.667	
796.667	681	681	681	681	681	681	681	
712.333	712.333	712.333	712.333	712.333	712.333	712.333	712.333	
596.333	596.333	596.333	596.333	596.333	596.333	596.333	596.333	
621.167	621.167	621.167	621.167	621.167	621.167	621.167	621.167	
543.833	543.833	560.333	552.167	543.833	543.833	543.833	543.833	
790.167	784.667	790.167	760.833	760.833	760.833	760.833	760.833	
625.333	625.333	625.333	625.333	625.333	625.333	625.333	625.333	
663.833	663.833	663.833	663.833	663.833	663.833	663.833	663.833	
602.5	628.667	602.5	602.5	602.5	602.5	602.5	602.5	
426.167	426.167	426.167	441.833	382.333	382.333	382.333	382.333	
659.083	659.083	659.083	659.083	659.083	659.083	659.083	659.083	
452.333	452.333	454.417	452.333	452.333	452.333	452.333	452.333	
528.667	528.667	528.667	528.667	528.667	528.667	528.667	528.667	
569.25	569.25	569.25	569.25	569.25	569.25	569.25	569.25	
798.083	776.417	814.417	776.417	798.083	776.417	776.417	776.417	
482.667	482.667	482.667	482.667	482.667	482.667	482.667	482.667	
614.5	614.5	614.5	614.5	614.5	614.5	610.667	614.5	
649.667	649.667	649.667	649.667	649.667	649.667	649.667	649.667	
406.167	413.333	406.167	406.167	406.167	406.167	406.167	406.167	
673.5	650.667	650.667	650.667	650.667	650.667	650.667	650.667	
549.833	549.833	549.833	549.833	549.833	549.833	549.833	549.833	
545.833	545.833	545.833	545.833	545.833	545.833	545.833	545.833	
532.667	537.5	532.667	532.667	532.667	518.833	518.833	532.667	
400.667	400.667	400.667	400.667	400.667	400.667	400.667	400.667	
719.5	599	599	599	599	599	599	599	
601.333	601.333	601.333	601.333	601.333	601.333	601.333	601.333	
633.167	633.167	608.167	608.167	608.167	608.167	608.167	608.167	
